id;titel;beschreibung;kategorie;url;tag;bild;featured
r01;Reflexionskompetenz;Reflexion ist eine Schlüsselkompetenz für die Professionalisierung von Lehrpersonen. Das Lernobjekt bietet mit dem  «Reflexionszirkel» eine strukturierte Methode, um berufspraktische Fragen aus verschiedenen Perspektiven zu beleuchten und leitet an, durch Reflexion die berufliche Identität zu stärken.;bpa;https://openilias.phzh.ch/go/pg/2584_308;Leitfaden;https://openilias.phzh.ch/data/default/mobs/mm_4859/Reflexionskompetenz_oI-Icon.png?il_wac_token=c0102ed58442c736ac675829d10633a1e04cce09&il_wac_ttl=5&il_wac_ts=1777366604;x
r02;Videobibliothek Unterrichtssituationen;Kurze annotierte Klassenzimmer-Sequenzen zur kollegialen Analyse von Classroom Management.;bpa;https://phzh.ch;Video;;
r03;Mentorat — Gesprächsleitfaden;Gesprächsformate für Praxislehrpersonen: lernförderliches Feedback, Zielvereinbarung, kritische Momente.;bpa;https://phzh.ch;Leitfaden;;
r04;Deutsch als Zweitsprache — Diagnose;Beobachtungsinstrumente und Aufgabenpool zur Sprachstandserhebung für die Sekundarstufe I.;spr;https://phzh.ch;Diagnostik;;
r05;Mehrsprachigkeit im Klassenzimmer;Unterrichtsbausteine, die Herkunftssprachen sichtbar machen und Transfer zwischen Sprachen anstossen.;spr;https://phzh.ch;Unterricht;;
r06;Literaturkarten Gegenwartsliteratur;Kuratierte Textauszüge und Begleitmaterial zu zeitgenössischen Schweizer Autor:innen — lesefördernd aufbereitet.;spr;https://phzh.ch;Material;;
r07;English in the Primary Classroom;Activity bank für spielerischen Englischunterricht der 3.–6. Klasse — mit Audio und Bildkarten.;spr;https://phzh.ch;Material;;
r08;Klimawandel verstehen — Unterrichtsreihe;Forschungsbasierte Sequenz für die Mittelstufe mit Experimenten, Datensätzen und Diskussionsimpulsen.;nmg;https://phzh.ch;Unterrichtsreihe;;
r09;Archiv Zeitgeschichte Schweiz;Primärquellen und didaktisierte Materialien zur jüngeren Schweizer Geschichte — ab Sekundarstufe.;nmg;https://phzh.ch;Archiv;;
r10;Werkstatt Wald & Biodiversität;Draussenlernen-Werkstatt mit Stationenposten, Bestimmungshilfen und Forschungsheft.;nmg;https://phzh.ch;Werkstatt;;
r11;Druckgrafik in der Primarstufe;Einführung in Hoch- und Monotypie-Verfahren mit Material-, Technik- und Sicherheitshinweisen.;ges;https://phzh.ch;Werkstatt;;
r12;Architektur mit der Klasse;Entwurfsübungen vom Modell zum Raum — entwickelt mit dem Departement Architektur ETH.;ges;https://phzh.ch;Projekt;;
r13;Textiles Gestalten — Patternbank;Offene Schnittmuster und Methodenkarten für projektorientiertes Arbeiten mit Textil.;ges;https://phzh.ch;Material;;
r14;Klassenmusizieren — Repertoire;Arrangements für heterogene Klassen, von Bodypercussion bis Boomwhacker, inklusive Playbacks.;mus;https://phzh.ch;Repertoire;;
r15;Hörbildung digital;Interaktive Höraufgaben für Tablet und Laptop — differenziert nach Zyklus 2 und 3.;mus;https://phzh.ch;Interaktiv;;
r16;Stimmbildung im Schulalltag;Kurze Warm-ups und Sprecherziehungs-Routinen für Lehrpersonen aller Stufen.;mus;https://phzh.ch;Routine;;
r17;Bewegte Schule — Toolkit;Mikro-Interventionen zur Bewegungsförderung im Regelunterricht, wissenschaftlich begleitet.;bs;https://phzh.ch;Toolkit;;
r18;Schwimmunterricht sicher gestalten;Sicherheitsstandards, Aufbauübungen und Notfallprotokolle für Wassersport in der Volksschule.;bs;https://phzh.ch;Leitfaden;;
r19;Spielsammlung für kleine Räume;Über 80 Bewegungsspiele für Pausenhalle, Gang und knappe Turnhallenzeiten.;bs;https://phzh.ch;Sammlung;;
r20;Informatik ohne Strom;Analoge Einstiegsaufgaben zu Algorithmik, Codierung und Daten — erprobt auf Zyklus 2.;mi;https://phzh.ch;Material;;
r21;Medienkompetenz — Szenarien;Realitätsnahe Fallbeispiele zu KI, Deepfakes und Datenschutz für den Unterricht der Sek I.;mi;https://phzh.ch;Szenario;;
r22;Scratch-Projekte Schritt für Schritt;Offene Scratch-Lernpfade mit Differenzierungsaufgaben und Reflexionsimpulsen.;mi;https://phzh.ch;Lernpfad;;
r23;Formatives Beurteilen — Praxisheft;Beispiele für lernförderliche Rückmeldungen, Kompetenzraster und Selbstbeurteilung.;uek;https://phzh.ch;Praxisheft;;
r24;Lernjournal-Vorlagen;Strukturierte und offene Vorlagen zur Begleitung längerer Lernprozesse, digital und analog.;uek;https://phzh.ch;Vorlage;;
r25;Kooperatives Lernen — Methoden;Eine kuratierte Auswahl erprobter Methoden mit Anleitung, Varianten und Stolpersteinen.;uek;https://phzh.ch;Methoden;;
r26;Stellwerk 8 — Vorbereitungsaufgaben;Fachspezifische Aufgabenpools, die den Leistungsstand abbilden und zur Standortbestimmung dienen.;stw;https://phzh.ch;Aufgaben;;
r27;Auswertung Stellwerk — Handreichung;Wie Resultate mit Lernenden und Eltern besprochen werden können — mit Gesprächsleitfaden.;stw;https://phzh.ch;Handreichung;;
r28;Global Citizenship Education;Unterrichtsmaterialien zu globalen Zusammenhängen, entwickelt mit Partnerhochschulen.;ibe;https://phzh.ch;Material;;
r29;Austauschprogramme dokumentieren;Reflexionsinstrumente und Portfoliokomponenten für schulische Austauschprojekte.;ibe;https://phzh.ch;Portfolio;;
r30;Bildung in fragilen Kontexten;Fallstudien und Hintergrundtexte aus Forschungskooperationen der PH Zürich.;ibe;https://phzh.ch;Fallstudien;;
